brn,corp_name,prefix4,item_label,region_code,region_label,is_manufacturer,g2b_age_years,sr_count,social_corp_flag,female_ceo_flag,similarity,mean_top3_dist,nearest_ref_brn,nearest_ref_name,nearest_ref_dist,top5_neighbors,nearest_ref_env_count,nearest_ref_env_amt
2068117262,주식회사 신영정보기술,3912,전기 설비 (배전반·계장제어·UPS),41,경기,True,22.43630462921439,1,False,False,0.5247140252537943,0.9058000203373994,1338128627,주식회사일렉콤,0.3894286452798847,"[{""brn"": ""1338128627"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac\uc77c\ub809\ucf64"", ""dist"": 0.3894286452798847}, {""brn"": ""1288213643"", ""name"": ""\ud64d\uc560\uc6d0"", ""dist"": 1.0585441179560116}, {""brn"": ""1308217735"", ""name"": ""\uc0ac\ub2e8\ubc95\uc778 \ud55c\uad6d\uc7a5\uc560\uc778\ud611\ud68c"", ""dist"": 1.2694272977763017}, {""brn"": ""1408180747"", ""name"": ""\uc720\ube44\uc2a4 \uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 1.3688485685235512}, {""brn"": ""1298149486"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \uac00\ub098\uc774\uc5e0\ud2f0"", ""dist"": 1.4169105034977951}]",7,5608500000
5638103109,(주)태경엠텍,4111,계측 장비 (계측기·수질분석기·유량계),41,경기,True,2.080384026887216,1,False,False,0.5214941486156278,0.9175670573766294,2145700618,선우시스템,0.28140691858564276,"[{""brn"": ""2145700618"", ""name"": ""\uc120\uc6b0\uc2dc\uc2a4\ud15c"", ""dist"": 0.28140691858564276}, {""brn"": ""8338700207"", ""name"": ""\ucf00\uc774\uc564\uc81c\uc774\uc5d4\uc9c0\ub2c8\uc5b4\ub9c1\uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 1.0471915161059788}, {""brn"": ""5508702203"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \uc6f0\uc2a4\ud14c\ud06c"", ""dist"": 1.4241027374382667}, {""brn"": ""5503201432"", ""name"": ""\uc9c0\uc628\ud14c\ud06c"", ""dist"": 1.4318905129745072}, {""brn"": ""6758601428"", ""name"": ""\uc5d4\uc5d0\uc2a4\ud38c\ud504 \uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 1.4553734810166263}]",1,52250000
4180731682,제이비엘테크,4111,계측 장비 (계측기·수질분석기·유량계),45,전북,False,11.293251925586736,1,False,False,0.5129092731114561,0.9496625474008503,8811900022,포낙에이치에이(HA),0.018921003083389353,"[{""brn"": ""8811900022"", ""name"": ""\ud3ec\ub099\uc5d0\uc774\uce58\uc5d0\uc774(HA)"", ""dist"": 0.018921003083389353}, {""brn"": ""1243837427"", ""name"": ""\ud654\uc778\ubc14\uc774\uc624"", ""dist"": 1.4143592087215917}, {""brn"": ""4022454144"", ""name"": ""SG\uc0b0\uc5c5"", ""dist"": 1.4157074303975696}, {""brn"": ""4030863457"", ""name"": ""\ud55c\uc131"", ""dist"": 1.4242245210546456}, {""brn"": ""1371789964"", ""name"": ""\uc5d0\uc2a4\ud53c\ud2f0"", ""dist"": 1.5105528862448714}]",1,74196520
5311200055,이원E&C,4111,계측 장비 (계측기·수질분석기·유량계),,지역미상,False,5.65601715488174,1,False,False,0.5127420974845089,0.9502982199159341,7342601117,에벤에셀,0.022017167224332296,"[{""brn"": ""7342601117"", ""name"": ""\uc5d0\ubca4\uc5d0\uc140"", ""dist"": 0.022017167224332296}, {""brn"": ""2740601179"", ""name"": ""\ubb38\ud654\uc608\uc220ATO & \ube44\uc2a4\ud2b8Ent."", ""dist"": 1.4142286674459073}, {""brn"": ""8298701298"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \uc5d0\uc2a4\uc5e0\uc0b0\uc5c5\uac00\uc2a4"", ""dist"": 1.414648825077563}, {""brn"": ""7072900951"", ""name"": ""\uc5d0\uc774\uce58\uc5e0"", ""dist"": 1.4149096925907199}, {""brn"": ""8923800872"", ""name"": ""\ub4dc\ub9bc\uc720\ud1b5"", ""dist"": 1.4150930281156684}]",1,52939140
1278120708,한원계전(주),3912,전기 설비 (배전반·계장제어·UPS),41,경기,True,24.695031528598374,1,False,False,0.5117543691109303,0.9540624572239566,1338128627,주식회사일렉콤,0.1056135990290902,"[{""brn"": ""1338128627"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac\uc77c\ub809\ucf64"", ""dist"": 0.1056135990290902}, {""brn"": ""1288213643"", ""name"": ""\ud64d\uc560\uc6d0"", ""dist"": 1.3423591642068107}, {""brn"": ""1308177809"", ""name"": ""(\uc8fc)\ub514\uc54c\uc5d0\uc2a4"", ""dist"": 1.4142146084359686}, {""brn"": ""4108212427"", ""name"": ""(\uc0ac)\ud55c\uc62c\uc7a5\uc560\uc778\uc790\ub9bd\ubcf5\uc9c0\ud68c"", ""dist"": 1.415231475859684}, {""brn"": ""1098157022"", ""name"": ""\uc0bc\uc778\uc2f8\uc774\uc5b8\uc2a4(\uc8fc)"", ""dist"": 1.4174902208349522}]",7,5608500000
5130276918,세원정보통신,3912,전기 설비 (배전반·계장제어·UPS),41,경기,True,24.889418934484752,1,False,False,0.5117385505701237,0.9541228599758766,1338128627,주식회사일렉콤,0.08118830413962881,"[{""brn"": ""1338128627"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac\uc77c\ub809\ucf64"", ""dist"": 0.08118830413962881}, {""brn"": ""1288213643"", ""name"": ""\ud64d\uc560\uc6d0"", ""dist"": 1.3667844590962728}, {""brn"": ""1308177809"", ""name"": ""(\uc8fc)\ub514\uc54c\uc5d0\uc2a4"", ""dist"": 1.4143958166917283}, {""brn"": ""1098157022"", ""name"": ""\uc0bc\uc778\uc2f8\uc774\uc5b8\uc2a4(\uc8fc)"", ""dist"": 1.4160401063970331}, {""brn"": ""4108212427"", ""name"": ""(\uc0ac)\ud55c\uc62c\uc7a5\uc560\uc778\uc790\ub9bd\ubcf5\uc9c0\ud68c"", ""dist"": 1.4163680250307749}]",7,5608500000
2158142159,(주)인포월드,4111,계측 장비 (계측기·수질분석기·유량계),11,서울,True,24.024258085751008,1,False,False,0.5113951205081301,0.9554351613804695,1178140497,주식회사동일그린시스,0.03680995145313954,"[{""brn"": ""1178140497"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac\ub3d9\uc77c\uadf8\ub9b0\uc2dc\uc2a4"", ""dist"": 0.03680995145313954}, {""brn"": ""1138205103"", ""name"": ""\uc0ac\ub2e8\ubc95\uc778 \ud55c\uad6d\uc7a5\uc560\uc778\ubb38\ud654\uc778\uc1c4\ud611\ud68c"", ""dist"": 1.414390336015937}, {""brn"": ""1178129380"", ""name"": ""(\uc8fc)\uc6a9\uc9c4\uae30\uc804"", ""dist"": 1.415105196672332}, {""brn"": ""2033763347"", ""name"": ""\ud050\ub77c\uc778"", ""dist"": 1.4903545315803757}, {""brn"": ""2011158950"", ""name"": ""\uc544\uc774\ub514\uc5b4 \uc2a4\ud47c"", ""dist"": 1.5835408976835033}]",4,604000560
4048102155,덕산엔지니어링 주식회사,4710,수처리 약품 (응집제·여과재),45,전북,True,26.877098605942656,1,False,False,0.5088493795266925,0.9652180787370762,4188106257,바다정수산업 주식회사,0.025113331365249094,"[{""brn"": ""4188106257"", ""name"": ""\ubc14\ub2e4\uc815\uc218\uc0b0\uc5c5 \uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 0.025113331365249094}, {""brn"": ""1238132745"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \ud64d\uc6b0\uc5d4\uc9c0\ub2c8\uc5b4\ub9c1"", ""dist"": 1.4241432500326148}, {""brn"": ""1378126164"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \ubcf4\uc740\uc815\uacf5"", ""dist"": 1.4463976548133648}, {""brn"": ""1178129380"", ""name"": ""(\uc8fc)\uc6a9\uc9c4\uae30\uc804"", ""dist"": 1.4474156652137857}, {""brn"": ""4048110015"", ""name"": ""\uc2e0\uc6b0\uc0b0\uc5c5 \uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 1.458012308221072}]",4,222045350
7348602314,주식회사 하이테크널러지,4710,수처리 약품 (응집제·여과재),,지역미상,False,4.930486696291733,1,False,False,0.5072897517922729,0.9712600076523606,2740601179,문화예술ATO & 비스트Ent.,0.08462848651841884,"[{""brn"": ""2740601179"", ""name"": ""\ubb38\ud654\uc608\uc220ATO & \ube44\uc2a4\ud2b8Ent."", ""dist"": 0.08462848651841884}, {""brn"": ""3800102293"", ""name"": ""\ud0dc\uc219\ucee8\uc124\ud305"", ""dist"": 1.414335569928845}, {""brn"": ""8923800872"", ""name"": ""\ub4dc\ub9bc\uc720\ud1b5"", ""dist"": 1.4148159665098183}, {""brn"": ""7072900951"", ""name"": ""\uc5d0\uc774\uce58\uc5e0"", ""dist"": 1.4149872701701927}, {""brn"": ""7342601117"", ""name"": ""\uc5d0\ubca4\uc5d0\uc140"", ""dist"": 1.41873541056231}]",1,44166110
5041096399,경성엔지니어링,3912,전기 설비 (배전반·계장제어·UPS),27,대구,True,19.8189192767161,1,False,False,0.5057151359798062,0.9773978053129326,5048167220,남호전기 주식회사,0.08841268713510433,"[{""brn"": ""5048167220"", ""name"": ""\ub0a8\ud638\uc804\uae30 \uc8fc\uc2dd\ud68c\uc0ac"", ""dist"": 0.08841268713510433}, {""brn"": ""4028212917"", ""name"": ""\uc0ac\ub2e8\ubc95\uc778 \uafc8\ub4dc\ub798\uc7a5\uc560\uc778\ud611\ud68c"", ""dist"": 1.4145832346560856}, {""brn"": ""4088177231"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \uc138\uac15\uc5d4\uc9c0\ub2c8\uc5b4\ub9c1"", ""dist"": 1.4291974941476078}, {""brn"": ""1378128430"", ""name"": ""(\uc8fc)\ud53c\ub2c9\uc2a4"", ""dist"": 1.434397012598801}, {""brn"": ""5038154421"", ""name"": ""\uc8fc\uc2dd\ud68c\uc0ac \uc544\uc774\uc5d4\ud14d"", ""dist"": 1.5094676531158648}]",1,33660000
